,Area,All usual residents aged 16+  in employment,15 hours or less,16 to 30 hours,31 to 48 hours,49 or more hours
0,Barking and Dagenham,94585,10781,20099,55490,8215
1,Barnet,186162,23744,35920,101773,24725
2,Bexley,117959,11604,20989,73632,11734
3,Brent,160976,18545,30974,93504,17953
4,Bromley,162161,16703,27387,97193,20878
5,Camden,102481,11889,15111,55423,20058
6,City of London,5356,390,495,2761,1710
7,Croydon,189432,20308,35277,114647,19200
8,Ealing,175074,19414,31589,103467,20604
9,Enfield,143861,17932,32893,79126,13910
10,Greenwich,142892,13724,24114,87011,18043
11,Hackney,134345,14031,25465,76467,18382
12,Hammersmith and Fulham,98098,9497,13121,56606,18874
13,Haringey,134419,16549,26939,74965,15966
14,Harrow,124936,13730,22762,73656,14788
15,Havering,124732,12614,22570,76479,13069
16,Hillingdon,142810,14803,25729,87791,14487
17,Hounslow,138840,15633,24705,84232,14270
18,Islington,115074,11053,15913,67504,20604
19,Kensington and Chelsea,69435,7622,9994,33141,18678
20,Kingston upon Thames,84151,9293,14339,49809,10710
21,Lambeth,182753,16666,25915,112906,27266
22,Lewisham,155732,16072,28107,94039,17514
23,Merton,112071,11585,18729,66653,15104
24,Newham,163454,18675,34019,94332,16428
25,Redbridge,141598,16604,28209,81727,15058
26,Richmond upon Thames,97540,10861,14987,54043,17649
27,Southwark,166952,16590,25389,99665,25308
28,Sutton,104243,10705,18516,64116,10906
29,Tower Hamlets,155433,15642,25239,90665,23887
30,Waltham Forest,140403,15079,25654,84744,14926
31,Wandsworth,190484,15476,23177,115995,35836
32,Westminster,101712,10623,13974,51886,25229
